getgid,getrandom,access,getdents64,fcntl,write,getcwd,geteuid,execve,dup,mmap,prctl,gettid,print,ioctl,openat,getuid,getegid,brk,pread64,isSorted,futex,close,exit_group,CPU Time (seconds)
1,2,1,18,1,0,2,1,1,3,27,0,0,0,24,37,1,1,10,4,0,1,37,1,0.01
1,2,1,18,1,5,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.02
1,2,1,18,1,1,2,1,1,3,27,0,0,0,28,37,1,1,7,4,0,1,37,0,0.02
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.02
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.03
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.01
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.58
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,28,4,0,18,216,1,0.07
1,4,2,48,1,4,3,1,1,3,126,6,1,0,142,214,1,1,27,4,0,18,215,1,0.02
1,2,1,18,1,0,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.45
1,2,1,18,1,1,2,1,1,3,27,0,0,0,28,37,1,1,7,4,0,1,37,1,0.09
1,4,2,48,3,4,3,1,1,3,126,6,1,1,146,214,1,1,28,4,1,18,216,1,0.09
1,4,2,48,1,4,3,1,1,3,126,6,1,0,142,214,1,1,29,4,0,18,215,1,1.91
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,29,4,0,18,216,1,0.01
1,2,1,18,1,0,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.34
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,29,4,0,18,216,1,0.07
1,4,2,48,3,4,3,1,1,3,126,6,1,1,146,214,1,1,27,4,0,18,216,1,0.64
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,28,4,0,18,216,1,2.3
1,4,2,48,3,4,3,1,1,3,126,6,1,0,150,214,1,1,28,4,0,18,216,1,0.01
1,2,1,18,1,0,2,1,1,3,27,0,0,0,24,37,1,1,10,4,0,1,37,1,0.93
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,28,4,0,18,216,1,0.08
1,4,2,48,3,4,3,1,1,3,126,6,1,1,146,214,1,1,28,4,0,18,216,1,0.68
1,4,2,48,3,4,3,1,1,3,126,6,1,1,146,214,1,1,28,4,0,18,216,1,0.78
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,28,4,0,18,216,1,0.08
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,29,4,0,18,216,1,0.09
1,4,2,48,3,4,3,1,1,3,126,6,1,1,146,214,1,1,28,4,0,18,216,1,1.9
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,28,4,0,18,216,1,0.01
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,2.68
1,2,1,18,1,4,2,1,1,3,27,0,0,0,28,37,1,1,7,4,0,1,37,1,1.28
1,2,1,18,1,3,2,1,1,3,27,0,0,0,28,37,1,1,7,4,0,1,37,1,2.78
1,2,1,18,1,3,2,1,1,3,27,0,0,0,28,37,1,1,7,4,0,1,37,1,0.01
1,2,1,18,1,2,2,1,1,3,27,0,0,0,28,37,1,1,7,4,0,1,37,1,0.02
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.01
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.57
1,4,2,48,3,4,3,1,1,3,126,6,1,1,146,214,1,1,25,4,0,18,216,1,0.11
1,4,2,48,3,4,3,1,1,3,126,6,1,1,146,214,1,1,28,4,0,18,216,1,0.07
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,28,4,0,18,216,1,0.76
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,27,4,0,18,216,1,0.08
1,4,2,48,1,3,3,1,1,3,126,6,1,0,142,214,1,1,26,4,0,18,215,1,0.08
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,28,4,0,18,216,1,0.57
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,25,4,0,18,216,1,0.21
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,29,4,0,18,216,1,4.5
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,28,4,0,18,216,1,0.49
1,4,2,48,3,4,3,1,1,3,126,6,1,1,147,215,1,1,26,4,0,18,217,1,0.47
1,4,2,48,3,4,3,1,1,3,126,6,1,1,146,214,1,1,28,4,0,18,216,1,0.09
1,4,2,48,3,4,3,1,1,3,126,6,1,1,146,214,1,1,28,4,0,18,216,1,0.64
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,30,4,0,18,216,1,0.37
1,4,2,48,3,4,3,1,1,3,126,6,1,1,146,214,1,1,27,4,0,18,216,1,2.81
1,2,1,18,1,2,2,1,1,3,27,0,0,0,28,37,1,1,7,4,0,1,37,1,0.08
1,4,2,48,3,4,3,1,1,3,126,6,1,1,146,214,1,1,29,4,0,18,216,1,0.01
1,2,1,18,1,4,2,1,1,3,27,0,0,3,24,37,1,1,7,4,0,1,37,1,0.57
1,4,2,48,3,4,3,1,1,3,126,6,1,1,146,214,1,1,25,4,0,18,216,1,0.08
1,4,2,48,1,4,3,1,1,3,126,6,1,0,142,214,1,1,26,4,0,18,215,1,0.09
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,28,4,0,18,216,1,0.09
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,27,4,0,18,216,1,0.07
1,2,1,18,3,4,2,1,1,3,27,0,0,0,25,38,1,1,12,4,0,1,39,0,0.73
1,4,2,48,3,4,3,1,1,3,126,6,1,1,146,214,1,1,30,4,0,18,216,1,0.53
1,4,2,48,3,4,3,1,1,3,126,6,1,1,146,214,1,1,26,4,0,18,216,1,1.85
1,4,2,48,3,4,3,1,1,3,126,6,1,1,146,214,1,1,28,4,0,18,216,1,0.07
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,28,4,0,18,216,1,0.39
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,28,4,0,18,216,1,0.08
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,28,4,0,18,216,1,0.06
1,4,2,48,3,4,3,1,1,3,126,6,1,1,146,214,1,1,27,4,0,18,216,1,0.19
1,4,2,48,1,3,3,1,1,3,126,6,1,0,142,214,1,1,25,4,0,18,215,1,0.08
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,27,4,0,18,216,1,0.01
1,4,2,48,3,4,3,1,1,3,126,6,1,1,146,214,1,1,26,4,0,18,216,1,0.56
1,2,1,18,1,0,2,1,1,3,27,0,0,0,24,37,1,1,8,4,0,1,37,1,0.01
1,2,1,18,3,4,2,1,1,3,27,0,0,0,25,38,1,1,9,4,0,1,39,0,0.4
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,30,4,0,18,216,1,0.71
1,2,1,18,1,0,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.68
1,4,2,48,3,4,3,1,1,3,126,6,1,0,147,215,1,1,25,4,0,18,217,1,0.07
1,4,2,48,5,6,3,1,1,3,126,6,1,0,147,215,1,1,27,4,0,18,218,1,0.46
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,29,4,0,18,216,1,0.94
1,4,2,48,3,4,3,1,1,3,126,6,1,1,146,214,1,1,28,4,0,18,216,1,2.19
1,4,2,48,3,4,3,1,1,3,126,6,1,1,146,214,1,1,29,4,0,18,216,1,0.1
1,4,2,48,3,4,3,1,1,3,126,6,1,1,146,214,1,1,26,4,0,18,216,1,0.02
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,29,4,0,18,216,1,0.51
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,27,4,0,18,216,1,0.08
1,2,1,18,1,1,2,1,1,3,27,0,0,0,28,37,1,1,7,4,0,1,37,1,0.68
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,28,4,0,18,216,1,0.08
1,4,2,48,3,4,3,1,1,3,126,6,1,1,146,214,1,1,27,4,0,18,216,1,2.84
1,4,2,48,3,4,3,1,1,3,126,6,1,1,146,214,1,1,27,4,0,18,216,1,0.68
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,26,4,0,18,216,1,0.21
1,2,1,18,1,1,2,1,1,3,27,0,0,0,28,37,1,1,7,4,0,1,37,1,1.43
1,4,2,48,3,4,3,1,1,3,127,6,1,2,146,214,1,1,30,4,0,18,216,1,0.01
1,4,2,48,3,4,3,1,1,3,126,6,1,1,146,214,1,1,28,4,0,18,216,1,0.31
1,4,2,48,5,6,3,1,1,3,126,6,1,0,151,215,1,1,28,4,0,18,218,1,3.49
1,2,1,18,1,4,2,1,1,3,27,0,0,0,24,38,1,1,7,4,0,1,37,1,0.63
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,29,4,0,18,216,1,0.4
1,4,2,48,3,5,3,1,1,3,126,6,1,0,146,214,1,1,27,4,0,18,216,1,0.48
1,2,1,18,1,1,2,1,1,3,27,0,0,1,28,37,1,1,7,4,0,1,37,1,2.21
1,4,2,48,3,4,3,1,1,3,126,6,1,1,146,214,1,1,25,4,0,18,216,1,0.42
1,4,2,48,3,4,3,1,1,3,126,6,1,1,146,214,1,1,28,4,0,18,216,1,0.35
1,4,2,48,3,4,3,1,1,3,126,6,1,1,146,214,1,1,28,4,0,18,216,1,0.1
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,28,4,0,18,216,1,0.08
1,4,2,48,3,4,3,1,1,3,126,6,1,1,146,214,1,1,29,4,0,18,216,1,0.08
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,28,4,0,18,216,1,1.2
1,4,2,48,3,4,3,1,1,3,126,6,1,1,146,214,1,1,27,4,0,18,216,1,1.95
1,4,2,48,3,4,3,1,1,3,126,6,1,1,146,214,1,1,28,4,0,18,216,1,4.59
1,4,2,48,3,5,3,1,1,3,126,6,1,0,146,214,1,1,27,4,0,18,216,1,0.06
1,5,2,48,9,17,3,1,1,3,131,6,1,0,154,231,1,1,30,4,0,25,243,1,0.26
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,28,4,0,18,216,1,1.21
1,4,2,48,3,4,3,1,1,3,126,6,1,1,146,214,1,1,29,4,0,18,216,1,0.03
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,27,4,0,18,216,1,0.24
1,4,2,48,3,4,3,1,1,3,126,6,1,0,154,214,1,1,28,4,0,18,216,1,0.65
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.04
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,27,4,0,18,216,1,0.08
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,27,4,0,18,216,1,0.09
1,2,1,18,1,4,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,3.03
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,28,4,0,18,216,1,0.65
1,4,2,48,3,4,3,1,1,3,126,6,1,1,146,214,1,1,29,4,0,18,216,1,0.08
1,2,1,20,1,2,2,1,1,3,28,0,0,0,36,50,1,1,9,4,0,1,50,1,0.66
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,28,4,0,18,216,1,1.39
1,4,2,48,3,4,3,1,1,3,126,6,1,0,142,214,1,1,26,4,0,18,216,1,4.26
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,28,4,0,18,216,1,2.09
1,2,1,18,1,2,2,1,1,3,27,0,0,0,28,37,1,1,7,4,0,1,37,1,0.64
1,4,2,48,3,4,3,1,1,3,126,6,1,1,146,214,1,1,28,4,0,18,216,1,0.01
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,28,4,0,18,216,1,0.83
1,4,2,48,3,4,3,1,1,3,126,6,1,1,146,214,1,1,29,4,0,18,216,1,0.05
1,2,1,18,1,2,2,1,1,3,27,0,0,0,28,37,1,1,7,4,0,1,37,1,1.26
1,2,1,18,1,3,2,1,1,3,27,0,0,0,28,37,1,1,7,4,0,1,37,1,0.01
1,2,1,18,1,129,2,1,1,3,27,0,0,0,532,37,1,1,7,4,0,1,37,1,0.01
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.02
1,4,1,20,1,12,2,1,1,3,27,0,0,0,52,42,1,1,7,4,0,1,42,1,0.02
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.01
1,2,1,18,1,4,2,1,1,3,27,0,0,0,24,37,1,1,9,4,0,1,37,1,0.01
1,2,1,20,1,1,2,1,1,3,47,0,0,0,46,64,1,1,11,4,0,1,64,1,0.01
1,2,1,18,1,7,2,1,1,3,27,0,0,0,24,37,1,1,9,4,0,1,37,1,0.03
1,2,1,18,1,2,2,1,1,3,27,0,0,1,24,37,1,1,7,4,0,1,37,1,0.02
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.01
1,2,1,18,1,3,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.02
1,2,1,20,1,4,2,1,1,3,28,0,0,0,36,50,1,1,8,4,0,1,50,1,0.12
1,2,1,18,1,6,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.01
1,2,1,20,1,1,2,1,1,3,27,0,0,1,25,39,1,1,10,4,0,1,39,1,0.06
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.27
